,맥주,년,평점
443,Guinness Original 4.2% (Ireland/UK), 2009,3.3049999999999997
444,Guinness Original 4.2% (Ireland/UK), 2010,3.109677419354839
445,Guinness Original 4.2% (Ireland/UK), 2011,3.2366666666666664
446,Guinness Original 4.2% (Ireland/UK), 2012,3.3131578947368423
447,Guinness Original 4.2% (Ireland/UK), 2013,3.298275862068966
448,Guinness Original 4.2% (Ireland/UK), 2014,3.094871794871795
449,Guinness Original 4.2% (Ireland/UK), 2015,3.177358490566038
450,Guinness Original 4.2% (Ireland/UK), 2016,3.170833333333333
451,Guinness Original 4.2% (Ireland/UK), 2017,3.2411764705882353
452,Guinness Original 4.2% (Ireland/UK), 2018,3.1454545454545455
453,Guinness Original 4.2% (Ireland/UK), 2019,3.326923076923077
454,Guinness Original 4.2% (Ireland/UK), 2020,3.41
455,Harbin Beer, 2002,2.3
456,Harbin Beer, 2003,2.25
457,Harbin Beer, 2004,1.7
458,Harbin Beer, 2005,2.8
459,Harbin Beer, 2006,2.019642857142857
460,Harbin Beer, 2007,2.1229885057471263
461,Harbin Beer, 2008,2.0028571428571427
462,Harbin Beer, 2009,2.026315789473684
463,Harbin Beer, 2010,1.9866666666666668
464,Harbin Beer, 2011,1.55
465,Harbin Beer, 2012,1.6583333333333332
466,Harbin Beer, 2013,1.5333333333333334
467,Harbin Beer, 2014,1.5166666666666668
468,Harbin Beer, 2015,2.3714285714285714
469,Harbin Beer, 2016,1.8142857142857143
470,Harbin Beer, 2017,2.1333333333333333
471,Harbin Beer, 2018,1.7399999999999998
472,Harbin Beer, 2019,1.675
473,Harbin Beer, 2020,2.15
474,Heineken, 2000,1.8705882352941177
475,Heineken, 2001,2.3993421052631576
476,Heineken, 2002,2.3129449838187703
477,Heineken, 2003,2.22
478,Heineken, 2004,2.1128865979381444
479,Heineken, 2005,2.0372881355932204
480,Heineken, 2006,2.0947955390334574
481,Heineken, 2007,2.1234920634920633
482,Heineken, 2008,2.068867924528302
483,Heineken, 2009,2.022110552763819
484,Heineken, 2010,1.982098765432099
485,Heineken, 2011,1.9948863636363638
486,Heineken, 2012,2.200377358490566
487,Heineken, 2013,2.1919413919413917
488,Heineken, 2014,2.0992156862745097
489,Heineken, 2015,2.174537037037037
490,Heineken, 2016,2.240789473684211
491,Heineken, 2017,2.146308724832215
